Age,Gender,EmploymentStatus,AnnualIncomeUSD,Country,BankAccountsCount,CardsCount,MonthlyTransactionRange,VictimOfFraud,FraudConcernLevel,TechComfortLevel,SecurityMeasures,ValuedFeatures,MonthlyWillingnessToPayUSD,SubscribeLikelihood,Challenges,Motivations,SatisfactionLevel,ResearchFrequency,AlertPreference,RecommendationLikelihood,TryWillingness,AdoptionBarrier,ProactiveVsReactiveScale,IntegrateWithAccounts
32,Female,Employed full-time,85718.17,India,3,7,11-20,No,7,10,None,"Detailed reporting, Insurance against fraud",1173.78,Neutral,"Poor customer support, Fear of hacking","Cost savings, Trust & reputation",4,Monthly,SMS,10,Eager to try,Complexity,6,No
20,Male,Employed full-time,69498.47,USA,4,5,21-50,Yes,9,8,"Transaction alerts, Credit monitoring",AI-based detection,492.35,Unlikely,Complexity of security,"Peer recommendations, Trust & reputation, Innovative features",5,Monthly,SMS,7,Wait for reviews,Complexity,5,Yes
30,Male,Employed full-time,16525.64,UAE,1,4,21-50,No,8,8,"None, Biometric login",Detailed reporting,196.61,Unlikely,"Complexity of security, Lack of transparency","Cost savings, Peer recommendations, Convenience",4,Monthly,Email,7,Wait for reviews,Cost,8,No
31,Female,Self-employed,52745.94,India,1,3,21-50,Yes,8,3,"Transaction alerts, Two-factor authentication","AI-based detection, Personalized recommendations",837.47,Neutral,Complexity of security,"Cost savings, Trust & reputation",2,Rarely,SMS,4,Skeptical but open,Cost,4,No
26,Female,Self-employed,80608.55,Singapore,4,3,11-20,No,6,6,"Biometric login, Two-factor authentication","Real-time alerts, Detailed reporting",1553.81,Neutral,"Complexity of security, Lack of transparency","Cost savings, Trust & reputation, Peer recommendations",3,Rarely,Mobile App Notification,10,Unlikely to try,Complexity,7,Yes
33,Male,Employed full-time,45802.1,India,3,3,21-50,Yes,9,4,"Biometric login, Transaction alerts",Detailed reporting,478.97,Very unlikely,Fear of hacking,"Innovative features, Convenience, Peer recommendations",6,Rarely,Phone Call,9,Wait for reviews,Cost,10,Yes
39,Male,Employed full-time,69883.74,Germany,4,6,6-10,No,8,9,Two-factor authentication,Real-time alerts,1171.96,Very unlikely,"Complexity of security, Lack of transparency","Peer recommendations, Convenience, Cost savings",4,Quarterly,Phone Call,7,Skeptical but open,Cost,6,Yes
53,Male,Employed full-time,121462.67,Germany,2,2,21-50,No,9,10,"Transaction alerts, Biometric login, Two-factor authentication","Real-time alerts, Detailed reporting, Personalized recommendations",1852.32,Neutral,Fear of hacking,"Innovative features, Convenience, Trust & reputation",3,Rarely,Email,8,Wait for reviews,Lack of awareness,5,Yes
36,Female,Employed full-time,67119.22,UAE,4,4,50+,No,6,2,"Two-factor authentication, Credit monitoring","AI-based detection, Insurance against fraud",414.42,Very likely,"Poor customer support, Lack of transparency","Peer recommendations, Convenience, Cost savings",5,Quarterly,Mobile App Notification,7,Wait for reviews,Complexity,5,No
37,Female,Self-employed,42175.09,USA,4,2,11-20,No,10,7,"None, Credit monitoring","Detailed reporting, AI-based detection, Real-time alerts",563.87,Very likely,"Fear of hacking, Lack of transparency, Poor customer support","Innovative features, Convenience",3,Monthly,Email,7,Eager to try,Cost,2,No
34,Female,Self-employed,67985.73,Germany,2,2,21-50,No,7,4,"Transaction alerts, None","Detailed reporting, Insurance against fraud",2635.3500000000004,Unlikely,Lack of transparency,"Trust & reputation, Cost savings, Innovative features",4,Quarterly,SMS,9,Skeptical but open,Lack of awareness,8,Yes
18,Female,Employed full-time,39613.8,Singapore,4,8,21-50,No,9,2,Biometric login,"Detailed reporting, Personalized recommendations",604.24,Very likely,"Lack of transparency, Too many passwords","Innovative features, Cost savings, Convenience",1,Quarterly,Email,8,Wait for reviews,Trust issues,7,Yes
34,Female,Employed full-time,36840.09,Singapore,5,7,0-5,No,8,9,"Transaction alerts, Credit monitoring","Insurance against fraud, Real-time alerts, Detailed reporting",521.33,Likely,Lack of transparency,"Peer recommendations, Cost savings, Trust & reputation",4,Quarterly,Email,6,Eager to try,Lack of awareness,9,Yes
35,Female,Retired,29411.81,UK,3,2,11-20,Not sure,6,9,Credit monitoring,Real-time alerts,576.35,Likely,"Too many passwords, Lack of transparency, Complexity of security","Innovative features, Trust & reputation, Cost savings",6,Rarely,SMS,9,Unlikely to try,Complexity,8,No
59,Female,Employed full-time,92785.72,Germany,2,6,6-10,No,9,9,"Credit monitoring, Two-factor authentication, Biometric login","Real-time alerts, Insurance against fraud, AI-based detection",1765.78,Neutral,"Fear of hacking, Lack of transparency","Cost savings, Peer recommendations, Trust & reputation",2,Quarterly,Email,7,Unlikely to try,Cost,6,Maybe
33,Male,Self-employed,22224.33,UAE,5,4,50+,Yes,5,8,Transaction alerts,Insurance against fraud,114.25,Neutral,"Poor customer support, Complexity of security",Convenience,2,Quarterly,SMS,8,Eager to try,Cost,6,No
38,Male,Employed full-time,91073.36,USA,2,3,21-50,Yes,8,5,"Credit monitoring, Two-factor authentication, Biometric login","Insurance against fraud, AI-based detection, Real-time alerts",564.7,Likely,"Fear of hacking, Complexity of security, Lack of transparency","Cost savings, Innovative features, Convenience",2,Monthly,Mobile App Notification,9,Wait for reviews,Lack of awareness,8,Maybe
34,Male,Employed full-time,49016.8,UK,2,4,6-10,No,9,10,Transaction alerts,Personalized recommendations,810.59,Likely,"Too many passwords, Complexity of security","Cost savings, Peer recommendations",3,Rarely,Phone Call,8,Unlikely to try,Cost,5,No
23,Male,Employed full-time,15684.31,Germany,4,4,6-10,No,5,6,"Biometric login, Credit monitoring","Real-time alerts, Insurance against fraud",239.73,Unlikely,"Poor customer support, Too many passwords, Lack of transparency","Innovative features, Peer recommendations, Cost savings",4,Weekly,SMS,8,Skeptical but open,Cost,8,Yes
46,Female,Employed part-time,45278.59,USA,2,5,11-20,No,7,4,Transaction alerts,"AI-based detection, Detailed reporting, Personalized recommendations",770.38,Very unlikely,"Lack of transparency, Too many passwords","Trust & reputation, Peer recommendations, Convenience",3,Rarely,SMS,9,Unlikely to try,Trust issues,5,Yes
42,Non-binary,Retired,10300.87,Australia,5,7,11-20,No,9,9,"Biometric login, Credit monitoring, Two-factor authentication",Personalized recommendations,92.73,Very likely,"Complexity of security, Fear of hacking","Peer recommendations, Innovative features, Convenience",3,Quarterly,SMS,10,Wait for reviews,Trust issues,4,Maybe
42,Male,Employed full-time,52854.85,Singapore,4,4,0-5,No,7,9,"Biometric login, Two-factor authentication, Transaction alerts","AI-based detection, Personalized recommendations",937.64,Very likely,"Lack of transparency, Poor customer support","Innovative features, Cost savings",3,Monthly,Phone Call,9,Eager to try,Lack of awareness,5,Yes
25,Male,Employed full-time,61767.89,Singapore,1,4,11-20,No,9,8,"Credit monitoring, Biometric login","Real-time alerts, Detailed reporting",718.75,Neutral,"Complexity of security, Fear of hacking","Convenience, Trust & reputation",5,Monthly,SMS,5,Eager to try,Lack of awareness,7,Maybe
49,Female,Employed full-time,25452.94,USA,3,6,11-20,Not sure,9,7,None,"Detailed reporting, AI-based detection",227.26,Unlikely,Fear of hacking,"Trust & reputation, Peer recommendations, Cost savings",2,Monthly,Email,9,Wait for reviews,Trust issues,8,No
20,Non-binary,Employed full-time,39109.81,USA,4,1,6-10,No,9,6,Transaction alerts,"Personalized recommendations, AI-based detection, Insurance against fraud",201.77,Unlikely,"Too many passwords, Complexity of security","Trust & reputation, Cost savings",4,Quarterly,SMS,9,Unlikely to try,Complexity,9,Maybe
40,Male,Employed full-time,117300.52,Australia,3,6,21-50,Yes,8,9,"Credit monitoring, None, Two-factor authentication","Real-time alerts, Personalized recommendations",2119.67,Unlikely,"Lack of transparency, Too many passwords",Trust & reputation,5,Monthly,Email,8,Skeptical but open,Complexity,9,Yes
56,Female,Employed full-time,26810.58,USA,2,3,50+,Yes,8,5,"Two-factor authentication, Credit monitoring","Personalized recommendations, Real-time alerts",349.35,Unlikely,"Lack of transparency, Too many passwords","Peer recommendations, Innovative features",4,Monthly,Mobile App Notification,9,Eager to try,Complexity,5,No
25,Male,Student,19238.24,UAE,5,2,21-50,No,6,8,"Credit monitoring, Biometric login","Real-time alerts, Personalized recommendations",377.66,Likely,"Too many passwords, Fear of hacking","Innovative features, Convenience",4,Monthly,Email,8,Wait for reviews,Complexity,7,No
29,Male,Employed full-time,88344.4,UK,2,5,21-50,No,9,6,"Biometric login, Two-factor authentication",Personalized recommendations,1388.79,Very likely,"Complexity of security, Too many passwords","Cost savings, Peer recommendations, Innovative features",3,Monthly,Mobile App Notification,9,Skeptical but open,Complexity,9,No
35,Prefer not to say,Employed full-time,117895.31,USA,2,5,6-10,No,9,9,Two-factor authentication,Detailed reporting,731.69,Neutral,"Poor customer support, Complexity of security, Too many passwords",Innovative features,3,Monthly,Email,9,Wait for reviews,Cost,9,Maybe
29,Prefer not to say,Unemployed,36396.12,USA,1,6,6-10,Yes,7,6,"Transaction alerts, Two-factor authentication, None","Detailed reporting, Personalized recommendations, AI-based detection",503.1,Unlikely,"Too many passwords, Fear of hacking, Poor customer support","Convenience, Cost savings, Innovative features",1,Quarterly,Email,5,Skeptical but open,Complexity,9,Maybe
19,Male,Employed full-time,66627.84,India,4,3,6-10,No,9,6,None,"Detailed reporting, Insurance against fraud, Real-time alerts",350.25,Neutral,"Complexity of security, Fear of hacking",Peer recommendations,6,Rarely,Mobile App Notification,10,Eager to try,Lack of awareness,4,Yes
35,Prefer not to say,Retired,81217.46,Australia,1,3,21-50,Yes,9,9,Transaction alerts,"Insurance against fraud, Detailed reporting, Personalized recommendations",1085.61,Very unlikely,Lack of transparency,Trust & reputation,3,Rarely,Mobile App Notification,10,Eager to try,Lack of awareness,4,Yes
24,Female,Employed full-time,23260.44,UK,3,5,50+,Yes,8,10,"None, Biometric login, Credit monitoring","Personalized recommendations, Insurance against fraud, AI-based detection",238.49,Unlikely,"Too many passwords, Complexity of security, Poor customer support","Convenience, Cost savings, Innovative features",4,Rarely,Mobile App Notification,7,Skeptical but open,Trust issues,5,No
39,Female,Unemployed,27141.43,UK,2,5,21-50,No,8,8,"Two-factor authentication, None, Biometric login","AI-based detection, Real-time alerts",397.61,Unlikely,"Complexity of security, Poor customer support, Lack of transparency",Convenience,5,Quarterly,Email,9,Eager to try,Cost,7,No
25,Female,Self-employed,76002.74,UK,2,4,21-50,No,7,8,Biometric login,"Personalized recommendations, AI-based detection, Real-time alerts",997.43,Very likely,"Poor customer support, Complexity of security",Peer recommendations,2,Monthly,Mobile App Notification,9,Eager to try,Lack of awareness,8,Yes
50,Female,Student,99808.49,India,3,2,21-50,No,8,7,"Biometric login, Transaction alerts, Credit monitoring","Personalized recommendations, Detailed reporting, AI-based detection",890.32,Very likely,Poor customer support,"Innovative features, Convenience",6,Monthly,SMS,10,Wait for reviews,Complexity,7,Maybe
27,Female,Retired,50905.62,UK,5,2,11-20,No,5,4,"Biometric login, Two-factor authentication, Transaction alerts",AI-based detection,378.5,Unlikely,Complexity of security,Peer recommendations,1,Monthly,Phone Call,7,Skeptical but open,Complexity,8,No
31,Female,Employed full-time,21420.66,Germany,5,2,11-20,No,8,9,"Biometric login, None, Two-factor authentication",Detailed reporting,237.14,Very likely,"Poor customer support, Too many passwords","Trust & reputation, Convenience",4,Monthly,SMS,10,Eager to try,Lack of awareness,3,No
43,Male,Retired,119639.3,India,4,2,0-5,No,4,8,"Biometric login, Transaction alerts, Two-factor authentication","Personalized recommendations, Detailed reporting, AI-based detection",2369.16,Very likely,"Lack of transparency, Complexity of security, Too many passwords","Trust & reputation, Cost savings, Innovative features",4,Monthly,Email,9,Eager to try,Complexity,3,Yes
22,Male,Employed full-time,26407.87,India,5,5,0-5,No,7,5,"Biometric login, Credit monitoring","Detailed reporting, Personalized recommendations",1523.15,Very unlikely,Fear of hacking,Convenience,1,Rarely,Email,7,Wait for reviews,Lack of awareness,5,Yes
37,Male,Employed full-time,29700.45,USA,2,4,21-50,No,10,5,"None, Transaction alerts",Personalized recommendations,482.09,Unlikely,"Too many passwords, Poor customer support, Complexity of security","Trust & reputation, Convenience",3,Quarterly,SMS,8,Eager to try,Cost,4,Maybe
48,Female,Employed full-time,44596.15,Australia,3,5,11-20,No,7,8,"Biometric login, Transaction alerts, Credit monitoring","AI-based detection, Insurance against fraud",261.09,Likely,"Complexity of security, Too many passwords","Innovative features, Peer recommendations, Cost savings",5,Rarely,Email,8,Skeptical but open,Lack of awareness,3,Maybe
18,Male,Employed part-time,92272.02,USA,2,4,11-20,Yes,8,3,Biometric login,Insurance against fraud,985.74,Unlikely,"Lack of transparency, Complexity of security, Too many passwords",Innovative features,3,Monthly,SMS,8,Skeptical but open,Complexity,8,No
36,Female,Employed full-time,60620.33,USA,2,4,11-20,No,7,10,"Credit monitoring, Biometric login","Personalized recommendations, Real-time alerts, Detailed reporting",830.79,Very likely,"Fear of hacking, Poor customer support, Lack of transparency",Convenience,4,Quarterly,Phone Call,9,Skeptical but open,Complexity,4,Maybe
37,Prefer not to say,Employed part-time,46579.66,Singapore,5,4,6-10,Yes,9,7,Transaction alerts,"Detailed reporting, AI-based detection, Real-time alerts",757.76,Likely,"Fear of hacking, Poor customer support","Peer recommendations, Cost savings, Convenience",4,Quarterly,Mobile App Notification,10,Eager to try,Complexity,4,Yes
42,Male,Employed part-time,47952.83,India,3,1,11-20,Yes,8,10,Transaction alerts,"AI-based detection, Real-time alerts, Insurance against fraud",619.83,Neutral,Lack of transparency,"Convenience, Peer recommendations, Cost savings",3,Monthly,Email,5,Skeptical but open,Complexity,10,Yes
22,Female,Student,37276.14,UK,1,7,11-20,No,9,9,Credit monitoring,"Personalized recommendations, AI-based detection, Real-time alerts",474.5,Unlikely,"Complexity of security, Fear of hacking, Too many passwords",Peer recommendations,5,Monthly,Email,8,Skeptical but open,Complexity,5,Maybe
21,Male,Student,50761.0,UK,4,5,11-20,No,4,10,"Credit monitoring, Two-factor authentication","Detailed reporting, AI-based detection, Insurance against fraud",835.46,Very likely,"Too many passwords, Lack of transparency","Cost savings, Innovative features",2,Rarely,SMS,6,Eager to try,Complexity,9,Yes
40,Female,Employed full-time,7960.63,UAE,2,2,21-50,Yes,7,7,"Two-factor authentication, None, Biometric login",Detailed reporting,77.21,Likely,"Complexity of security, Lack of transparency","Cost savings, Innovative features",5,Monthly,Mobile App Notification,6,Eager to try,Complexity,8,No
37,Male,Employed full-time,30395.06,USA,3,7,11-20,Yes,9,6,"None, Credit monitoring","AI-based detection, Detailed reporting, Personalized recommendations",193.29,Likely,"Lack of transparency, Complexity of security, Too many passwords","Convenience, Trust & reputation",5,Rarely,Email,9,Wait for reviews,Lack of awareness,7,Maybe
37,Female,Employed full-time,41973.48,Germany,3,2,21-50,No,6,8,Two-factor authentication,"Detailed reporting, AI-based detection, Real-time alerts",428.43,Very unlikely,"Fear of hacking, Complexity of security, Too many passwords","Cost savings, Convenience, Trust & reputation",3,Monthly,SMS,6,Wait for reviews,Cost,7,Yes
38,Female,Employed full-time,18203.91,Singapore,1,4,21-50,No,7,9,"Credit monitoring, Biometric login","Insurance against fraud, Personalized recommendations, Real-time alerts",134.43,Neutral,Complexity of security,"Trust & reputation, Convenience, Peer recommendations",4,Rarely,Phone Call,9,Wait for reviews,Cost,6,Yes
